Population,Accident,Vehicle number,number of commuters
12337,44,5558,5488
11600,30,4627,4708
101686,239,40616,44716
121865,215,46205,58915
32804,91,14351,12537
48479,185,18747,21255
97087,190,36776,45993
13861,45,6016,5659
167231,289,62794,82260
194319,433,64847,80034
6201,21,2694,2486
37061,89,14816,15950
94128,227,32656,44955
299301,627,96228,137913
12995,27,5777,4352
16051,58,6483,7164
146719,343,58412,70311
45040,140,19152,17003
134143,240,52700,63406
10549,20,4513,4404
140875,297,54727,69634
19557,42,8250,8311
21688,75,7558,10196
110477,292,43969,48675
152050,537,51171,60306
233429,536,91802,103580
63837,189,24406,26976
15330,54,6637,6346
5721,11,2454,2298
88778,181,34195,41978
19642,39,8084,9111
197376,481,63210,81025
15952,52,6267,7492
151389,316,58769,74103
154110,309,55442,77348
73257,179,30280,29490
7516,25,3319,2838
46100,120,16764,21741
116255,166,41541,52818
8584,64,3537,3781
82288,191,32735,41648
110376,214,41362,54940
135959,735,65795,65156
135443,236,43981,60028
53878,138,21649,22501
40918,158,14864,18406
29112,74,11733,11806
182618,409,64913,80373
116671,253,46010,57761
31818,106,11849,14632
162558,406,64688,80352
154999,291,61110,67498
18761,40,7933,7558
16495,42,6372,7730
13732,125,5753,5954
61273,133,20438,32575
11439,40,5105,4859
100863,280,50601,57705
7238,30,2943,2664
2853,2,1296,1046
28703,117,11718,12184
15944,30,6667,7250
103832,293,47417,56530
10274,39,4530,4369
29397,91,10881,14079
20584,58,8234,8568
5985,33,2502,2673
28310,72,11664,12616
33655,76,13548,15601
42983,118,17339,17944
3903,14,1658,1860
162078,286,60430,74705
197491,446,66528,88550
39351,65,15130,18199
217122,285,70297,98411
86657,358,39867,50781
149537,417,54097,74415
6674,11,2868,2626